SELLER INFO,SELLER TYPE,BHK,PRICE,Area in sqft,LOCATION,STATUS,PRICE PER SQ.FT
seller,OWNER,2 , 55 L,1285 ,Gajularamaram,Ready to moveConstruction Status,"4,280 / sq ft"
seller,OWNER,2 , 40 L,1100 ,Kompally,Under ConstructionConstruction Status,"3,636 / sq ft"
seller,OWNER,3 , 42.17 L,1205 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,Residential Plot, 5.56 L,1089 ,Shamshabad,ResaleNew/Resale,511 / sq ft
seller,OWNER,3 , 1.2 Cr,1655 ,Narsingi,Ready to moveConstruction Status,"7,250 / sq ft"
seller,OWNER,3 , 1.2 Cr,1800 ,Kukatpally,Ready to moveConstruction Status,"6,666 / sq ft"
seller,OWNER,4 , 78 L,2200 ,Kundanpally,Under ConstructionConstruction Status,"3,545 / sq ft"
seller,OWNER,2 , 70 L,1300 ,Manikonda,Ready to moveConstruction Status,"5,384 / sq ft"
seller,OWNER,3 , 1.4 Cr,756 ,Jubilee Hills,Ready to moveConstruction Status,"18,518 / sq ft"
seller,OWNER,6 , 2.9 Cr,2414 ,Banjara Hills,Ready to moveConstruction Status,"12,013 / sq ft"
seller,OWNER,6 , 6 Cr,5740 ,Nallagandla Gachibowli,Ready to moveConstruction Status,"10,452 / sq ft"
seller,OWNER,2 , 45 L,935 ,Amberpet,Ready to moveConstruction Status,"4,812 / sq ft"
seller,OWNER,3 , 59 L,1705 ,Nizampet,Ready to moveConstruction Status,"3,460 / sq ft"
seller,OWNER,2 , 45 L,1136 ,Shadnagar,Ready to moveConstruction Status,"3,961 / sq ft"
seller,OWNER,3 , 1.1 Cr,1602 ,Banjara Hills,Ready to moveConstruction Status,"6,866 / sq ft"
seller,OWNER,Residential Plot, 11.26 L,1314 ,Shadnagar,ResaleNew/Resale,856 / sq ft
seller,OWNER,Residential Plot, 30 L,900 ,chandrayangutta,ResaleNew/Resale,"3,333 / sq ft"
seller,OWNER,Residential Plot, 44 L,1503 ,Medchal,ResaleNew/Resale,"2,927 / sq ft"
seller,OWNER,2 , 38 L,830 ,Serilingampally,Ready to moveConstruction Status,"4,578 / sq ft"
seller,OWNER,2 , 64.7 L,1290 ,Puppalaguda,Ready to moveConstruction Status,"5,015 / sq ft"
seller,OWNER,5 , 2.5 Cr,4400 ,Kothapet,Ready to moveConstruction Status,"5,681 / sq ft"
seller,OWNER,3 , 93 L,1332 ,Bandlaguda Jagir,Ready to moveConstruction Status,"6,981 / sq ft"
seller,OWNER,3 , 1.31 Cr,3000 ,AS Rao Nagar,Ready to moveConstruction Status,"4,366 / sq ft"
seller,OWNER,2 , 60 L,1300 ,Pasumamula,Under ConstructionConstruction Status,"4,615 / sq ft"
seller,OWNER,2 , 1.29 Cr,1360 ,Madhapur,Ready to moveConstruction Status,"9,485 / sq ft"
seller,OWNER,2 , 62 L,1197 ,Chengicherla,Ready to moveConstruction Status,"5,179 / sq ft"
seller,OWNER,2 , 53.72 L,1130 ,Karmanghat,Ready to moveConstruction Status,"4,753 / sq ft"
Fudosan Developers and Agency,AGENT,3 , 1.28 Cr,2208 ,Tellapur,Under ConstructionConstruction Status,"5,800 / sq ft"
Fudosan Developers and Agency,AGENT,3 , 2.07 Cr,3569 ,Tellapur,Under ConstructionConstruction Status,"5,800 / sq ft"
Fudosan Developers and Agency,AGENT,3 , 1.17 Cr,2132 ,Tellapur,Under ConstructionConstruction Status,"5,500 / sq ft"
Fudosan Developers and Agency,AGENT,3 , 1 Cr,2132 ,Tellapur,Under ConstructionConstruction Status,"4,700 / sq ft"
seller,OWNER,2 , 42 L,1000 ,Mokila,Under ConstructionConstruction Status,"4,200 / sq ft"
seller,OWNER,2 , 48 L,1000 ,Mokila,Under ConstructionConstruction Status,"4,800 / sq ft"
seller,OWNER,3 , 95 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 87 L,1230 ,Manikonda,Ready to moveConstruction Status,"7,073 / sq ft"
seller,OWNER,3 , 95 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,3 , 1.2 Cr,2000 ,Bahadurpally,Under ConstructionConstruction Status,"6,000 / sq ft"
seller,OWNER,3 , 1.2 Cr,2000 ,Bahadurpally,Under ConstructionConstruction Status,"6,000 / sq ft"
seller,OWNER,3 , 1.2 Cr,2000 ,Bahadurpally,Under ConstructionConstruction Status,"6,000 / sq ft"
seller,OWNER,3 , 1.2 Cr,2000 ,Bahadurpally,Under ConstructionConstruction Status,"6,000 / sq ft"
seller,OWNER,2 , 38 L,1000 ,Gandi Maisamma,Ready to moveConstruction Status,"3,800 / sq ft"
Dream Weavers Realty Consultants Pvt Ltd,AGENT,3 , 69.25 L,1150 ,Aushapur,Under ConstructionConstruction Status,"6,021 / sq ft"
Dream Weavers Realty Consultants Pvt Ltd,AGENT,3 , 76.12 L,1275 ,Aushapur,Under ConstructionConstruction Status,"5,970 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,3 , 2.2 Cr,2540 ,Manikonda,Ready to moveConstruction Status,"8,661 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,2 , 82.41 L,1230 ,Puppalaguda,Under ConstructionConstruction Status,"6,700 / sq ft"
seller,OWNER,9 , 2.9 Cr,5400 ,Saidabad,Ready to moveConstruction Status,"5,370 / sq ft"
seller,OWNER,6 , 1.12 Cr,2300 ,Sainikpuri,Under ConstructionConstruction Status,"4,869 / sq ft"
seller,OWNER,3 , 1.03 Cr,1450 ,Madhapur,Under ConstructionConstruction Status,"7,103 / sq ft"
seller,OWNER,3 , 1.03 Cr,1450 ,Madhapur,Under ConstructionConstruction Status,"7,103 / sq ft"
seller,OWNER,3 , 98 L,1450 ,Madhapur,Under ConstructionConstruction Status,"6,758 / sq ft"
seller,OWNER,9 , 2.9 Cr,5400 ,Saidabad,Ready to moveConstruction Status,"5,370 / sq ft"
seller,OWNER,9 , 2.9 Cr,5400 ,Saidabad,Ready to moveConstruction Status,"5,370 / sq ft"
seller,OWNER,3 , 66.27 L,1665 ,Kollur,Under ConstructionConstruction Status,"3,980 / sq ft"
seller,OWNER,3 , 66.27 L,1665 ,Kollur,Under ConstructionConstruction Status,"3,980 / sq ft"
seller,OWNER,3 , 66.27 L,1665 ,Kollur,Under ConstructionConstruction Status,"3,980 / sq ft"
seller,OWNER,3 , 66.27 L,1665 ,Kollur,Under ConstructionConstruction Status,"3,980 / sq ft"
seller,OWNER,2 , 50 L,1250 ,Kollur,Under ConstructionConstruction Status,"4,000 / sq ft"
seller,OWNER,2 , 50 L,1250 ,Kollur,Under ConstructionConstruction Status,"4,000 / sq ft"
seller,OWNER,2 , 50 L,1250 ,Kollur,Under ConstructionConstruction Status,"4,000 / sq ft"
seller,OWNER,3 , 66.27 L,1665 ,Kollur,Under ConstructionConstruction Status,"3,980 / sq ft"
seller,OWNER,2 , 82.41 L,1230 ,Puppalaguda,Under ConstructionConstruction Status,"6,700 / sq ft"
seller,OWNER,3 , 1.2 Cr,2200 ,Bahadurpally,Ready to moveConstruction Status,"5,454 / sq ft"
seller,OWNER,3 , 1.2 Cr,2200 ,Bahadurpally,Ready to moveConstruction Status,"5,454 / sq ft"
seller,OWNER,4 , 74.99 L,1820 ,Patancheru,Ready to moveConstruction Status,"4,120 / sq ft"
seller,OWNER,2 , 82.41 L,1230 ,Puppalaguda,Under ConstructionConstruction Status,"6,700 / sq ft"
seller,OWNER,Residential Plot, 5.56 L,1089 ,Shamshabad,ResaleNew/Resale,511 / sq ft
seller,OWNER,Residential Plot, 5.56 L,1089 ,Shamshabad,ResaleNew/Resale,511 / sq ft
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,"2,368 / sq ft"
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,"2,368 / sq ft"
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,"2,368 / sq ft"
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,"2,368 / sq ft"
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,"2,368 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,3 , 47.6 L,1360 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 47.6 L,1360 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 36 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,461 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
